City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.36,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Mataura,NZ,72.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
6,Rocha,UY,65.66,clear sky,-34.4833,-54.3333,Hotel Arrarte
8,Hilo,US,73.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
9,Atuona,PF,78.1,few clouds,-9.8,-139.0333,Villa Enata
13,Morondava,MG,79.3,clear sky,-20.2833,44.2833,La Case Bambou
20,Bredasdorp,ZA,72.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
24,Chuy,UY,69.03,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Road Town,VG,75.29,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
29,Port Lincoln,AU,74.79,few clouds,-34.7333,135.8667,Port Lincoln Hotel
35,Vega De Alatorre,MX,66.88,scattered clouds,20.0333,-96.6333,Hotel Deluxe
37,East London,ZA,73.15,overcast clouds,-33.0153,27.9116,Tu Casa
38,Port Alfred,ZA,72.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
40,Esperance,AU,73.24,broken clouds,-33.8667,121.9,Hospitality Esperance
49,Cidreira,BR,72.81,clear sky,-30.1811,-50.2056,Hotel Castelo
53,Grand-Santi,GF,70.02,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
55,Tura,IN,65.34,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
56,Hermanus,ZA,72.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
58,Ponta Do Sol,PT,65.12,clear sky,32.6667,-17.1,Hotel do Campo
64,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Kapaa,US,76.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Puerto Ayora,EC,73.24,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Waitati,NZ,68.56,scattered clouds,-45.75,170.5667,Arden Country House BnB Dunedin
76,Acapulco,MX,78.62,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
83,Ewa Beach,US,76.95,scattered clouds,21.3156,-158.0072,Base Lodging
88,Cape Town,ZA,69.12,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
93,Manacapuru,BR,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
94,Sardarshahr,IN,65.84,clear sky,28.4333,74.4833,Hotel Moti Mahal
100,San Isidro,PE,70.02,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
107,Pisco,PE,69.85,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
109,Namibe,AO,69.82,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
111,Cabo San Lucas,MX,70.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Sambava,MG,78.1,scattered clouds,-14.2667,50.1667,Melrose
116,Agua Dulce,MX,65.03,clear sky,18.1333,-94.1333,Hotel Victoria
119,Acarau,BR,77.88,overcast clouds,-2.8856,-40.12,castelo pizzaria
120,Yarada,IN,73.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
127,Busselton,AU,78.08,overcast clouds,-33.65,115.3333,Observatory Guest House
132,Santiago Del Estero,AR,76.53,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
133,Buchanan,LR,77.94,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
134,Tougan,BF,67.87,clear sky,13.0667,-3.0667,Hôtel SMAK
135,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
137,Bandarbeyla,SO,75.34,overcast clouds,9.4942,50.8122,JABIR HOTEL
139,Corozal,CO,72.57,scattered clouds,9.3151,-75.2928,Hotel Perla De La Sabana
140,Maragogi,BR,77.68,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
141,Arraial Do Cabo,BR,74.68,light rain,-22.9661,-42.0278,Pousada Porto Praia
154,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
157,Kaeo,NZ,71.33,light rain,-35.1,173.7833,Bushido Lodge
