City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Rikitea,-23.1203,-134.9692,77.36,64,100,5.88,PF,overcast clouds
1,Barrow,71.2906,-156.7887,-5.78,77,40,10.36,US,scattered clouds
2,Ancud,-41.8697,-73.8203,46.42,79,19,3.36,CL,few clouds
3,Mataura,-46.1927,168.8643,72.48,59,90,5.86,NZ,overcast clouds
4,Pryazha,61.6926,33.6216,22.24,94,100,7.49,RU,light snow
5,Ohara,35.25,140.3833,48.15,31,100,7.87,JP,overcast clouds
6,Rocha,-34.4833,-54.3333,65.66,89,2,7.94,UY,clear sky
7,Butaritari,3.0707,172.7902,81.77,77,57,19.22,KI,light rain
8,Hilo,19.7297,-155.09,73.13,74,0,3.44,US,clear sky
9,Atuona,-9.8,-139.0333,78.1,75,12,14.9,PF,few clouds
10,Hobart,-42.8794,147.3294,86.27,55,20,1.99,AU,few clouds
11,Akdepe,42.0551,59.3788,19.4,73,100,8.9,TM,overcast clouds
12,Kavieng,-2.5744,150.7967,83.55,70,95,2.21,PG,light rain
13,Morondava,-20.2833,44.2833,79.3,74,0,4.5,MG,clear sky
14,Cherskiy,68.75,161.3,-27.87,99,65,0.6,RU,broken clouds
15,Qaanaaq,77.484,-69.3632,-5.37,93,100,3.71,GL,overcast clouds
16,Punta Arenas,-53.15,-70.9167,48.31,71,40,19.57,CL,scattered clouds
17,Bengkulu,-3.8004,102.2655,82.29,69,100,3.22,ID,overcast clouds
18,Carnarvon,-24.8667,113.6333,87.87,58,28,24.16,AU,scattered clouds
19,Roseburg,43.2165,-123.3417,52.5,90,100,0.0,US,overcast clouds
20,Bredasdorp,-34.5322,20.0403,72.28,86,100,10.51,ZA,overcast clouds
21,Tiksi,71.6872,128.8694,-16.4,99,100,3.89,RU,overcast clouds
22,Secovce,48.7007,21.661,38.01,73,20,6.89,SK,few clouds
23,Albany,42.6001,-73.9662,11.73,67,26,2.95,US,scattered clouds
24,Chuy,-33.6971,-53.4616,69.03,86,0,10.02,UY,clear sky
25,Tuktoyaktuk,69.4541,-133.0374,-4.05,96,100,15.99,CA,overcast clouds
26,Tarakan,3.3,117.6333,83.7,79,75,8.05,ID,broken clouds
27,Broome,42.2506,-75.833,12.58,80,0,1.01,US,clear sky
28,Road Town,18.4167,-64.6167,75.29,71,5,9.46,VG,clear sky
29,Port Lincoln,-34.7333,135.8667,74.79,65,15,6.08,AU,few clouds
30,Paamiut,61.994,-49.6678,26.33,97,100,5.55,GL,snow
31,Port Hardy,50.6996,-127.4199,40.75,77,65,12.41,CA,broken clouds
32,Maple Creek,49.9168,-109.4848,31.71,72,79,10.8,CA,broken clouds
33,Tasiilaq,65.6145,-37.6368,2.21,61,100,4.03,GL,overcast clouds
34,Pampa,35.5362,-100.9599,47.35,38,0,8.05,US,clear sky
35,Vega De Alatorre,20.0333,-96.6333,66.88,87,25,14.09,MX,scattered clouds
36,Ushuaia,-54.8,-68.3,36.05,92,77,4.63,AR,broken clouds
37,East London,-33.0153,27.9116,73.15,84,100,12.95,ZA,overcast clouds
38,Port Alfred,-33.5906,26.891,72.43,90,100,11.65,ZA,overcast clouds
39,Hithadhoo,-0.6,73.0833,82.17,70,5,10.65,MV,clear sky
40,Esperance,-33.8667,121.9,73.24,69,76,17.58,AU,broken clouds
41,Kuchinarai,16.541,104.05,88.11,52,63,11.45,TH,broken clouds
42,Samarai,-10.6167,150.6667,83.5,71,100,20.27,PG,overcast clouds
43,Debre Birhan,9.6833,39.5333,45.39,41,94,4.21,ET,overcast clouds
44,Broken Hill,-31.95,141.4333,90.61,38,99,6.11,AU,light rain
45,Sobolevo,54.4299,31.8996,28.02,98,100,4.41,RU,light snow
46,Avera,33.194,-82.5271,46.71,80,0,7.34,US,clear sky
47,Thompson,55.7435,-97.8558,-5.62,99,98,5.41,CA,overcast clouds
48,Kiunga,-6.1219,141.2906,90.21,52,95,2.53,PG,overcast clouds
49,Cidreira,-30.1811,-50.2056,72.81,73,0,17.65,BR,clear sky
50,Hasaki,35.7333,140.8333,50.29,32,36,8.72,JP,scattered clouds
51,Naze,28.3667,129.4833,55.58,54,75,17.13,JP,broken clouds
52,Vaini,-21.2,-175.2,81.54,69,100,14.74,TO,overcast clouds
53,Grand-Santi,4.25,-54.3833,70.02,99,63,0.85,GF,broken clouds
54,Mackay,-21.15,149.2,90.68,69,31,10.54,AU,scattered clouds
55,Tura,25.5198,90.2201,65.34,39,0,3.78,IN,clear sky
56,Hermanus,-34.4187,19.2345,72.81,80,100,13.29,ZA,overcast clouds
57,Tarko-Sale,64.9225,77.785,5.67,92,100,9.51,RU,overcast clouds
58,Ponta Do Sol,32.6667,-17.1,65.12,43,0,10.09,PT,clear sky
59,Jamestown,42.097,-79.2353,12.72,92,0,3.44,US,clear sky
60,Saint George,37.1041,-113.5841,52.36,32,0,18.99,US,clear sky
